City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,visakhapatnam,17.69,83.2093,31.94,79,75,3.09,IN,1717477611
220,lodja,-3.4833,23.4333,21.71,96,84,0.88,CD,1717477656
221,kalmunai,7.4167,81.8167,31.3,66,87,4.52,LK,1717477441
222,alice springs,-23.7,133.8833,16.75,48,0,6.69,AU,1717477657
223,dellys,36.9172,3.9131,17.15,78,33,4.31,DZ,1717477657
224,cidade velha,14.9167,-23.6167,22.26,73,40,4.63,CV,1717477657
225,fortaleza,-3.7227,-38.5247,25.68,94,40,1.54,BR,1717477486
226,ekuvukeni,-28.4675,30.1551,6.78,45,0,6.01,ZA,1717477657
227,cidreira,-30.1811,-50.2056,12.22,70,42,1.76,BR,1717477657
228,polyarnyy,69.1989,33.4478,11.88,82,93,0.59,RU,1717477657
229,vilhena,-12.7406,-60.1458,19.46,69,100,1.19,BR,1717477657
230,pisco,-13.7,-76.2167,13.03,88,0,2.06,PE,1717477447
231,queenstown,-31.8976,26.8753,4.82,83,97,10.13,ZA,1717477487
232,toliara,-23.35,43.6667,24.03,47,7,3.98,MG,1717477658
233,pont rouge,48.8833,-72.0825,17.09,61,82,3.69,CA,1717477658
234,nuuk,64.1835,-51.7216,7.34,65,100,1.03,GL,1717477658
235,cambria,35.5641,-121.0808,21.2,85,100,2.24,US,1717477658
236,south mackay,-21.1621,149.1881,24.84,52,0,2.34,AU,1717477658
237,talnakh,69.4865,88.3972,-2.11,83,100,3.04,RU,1717477658
238,bel ombre,-4.6167,55.4167,28.33,77,83,6.54,SC,1717477658
239,remire-montjoly,4.9167,-52.2667,25.02,100,40,1.03,GF,1717477658
240,puerto ayora,-0.7393,-90.3518,21.42,100,63,3.24,EC,1717477658
241,tommot,58.9564,126.2925,20.1,35,2,5.6,RU,1717477659
242,ritchie,-29.038,24.6028,5.78,61,70,9.03,ZA,1717477659
243,bela,25.9333,81.9833,44.52,12,27,5.8,IN,1717477468
244,magdagachi,53.45,125.8,24.02,13,88,3.61,RU,1717477493
245,otaki,-40.7583,175.15,10.09,77,43,0.78,NZ,1717477659
246,cam ranh,11.9214,109.1591,36.98,44,0,5.66,VN,1717477659
247,crete,35.1558,24.895,23.61,32,0,1.23,GR,1717477659
248,castillos,-34.1667,-53.8333,8.51,74,100,1.08,UY,1717477419
249,likasi,-10.9814,26.7333,15.8,74,3,1.38,CD,1717477659
250,weno,7.4515,151.8468,30.97,70,75,4.12,FM,1717477660
251,jiamusi,46.8333,130.35,18.98,46,3,2.52,CN,1717477418
252,san rafael,-34.6177,-68.3301,7.52,49,61,2.81,AR,1717477573
253,magadan,59.5667,150.8,6.96,78,97,3.84,RU,1717477660
254,enewetak,11.3474,162.3373,27.67,83,100,6.41,MH,1717477660
255,hithadhoo,-0.6,73.0833,28.81,73,10,3.79,MV,1717477660
256,daru,-9.0763,143.2092,28.1,70,70,3.64,PG,1717477660
257,ciudad lazaro cardenas,17.9583,-102.2,25.48,73,13,2.33,MX,1717477660
258,smithers,54.7804,-127.1743,12.18,76,75,3.6,CA,1717477660
259,balikpapan,-1.2675,116.8289,26.55,78,40,4.63,ID,1717477660
260,morehead city,34.7229,-76.726,25.0,82,100,4.12,US,1717477661
261,olonkinbyen,70.9221,-8.7187,0.48,92,59,10.32,SJ,1717477661
262,mount isa,-20.7333,139.5,24.87,33,3,5.66,AU,1717477661
263,datong,40.0936,113.2914,24.42,37,100,4.82,CN,1717477661
264,pierre,44.3683,-100.351,25.48,57,0,8.23,US,1717477661
265,kivertsi,50.8343,25.4582,20.08,89,96,1.74,UA,1717477661
266,yunak,38.8142,31.7322,20.58,52,100,1.2,TR,1717477661
267,ar rutbah,33.0381,40.2848,31.63,10,0,0.79,IQ,1717477629
